mileage,make,model,fuel,gear,offerType,price,hp,year
66000,Fiat,Punto,Gasoline,Manual,Used,6799,69,2017
61000,Hyundai,i10,Gasoline,Manual,Used,6900,67,2017
118759,Ford,Fiesta,Diesel,Manual,Used,6990,95,2017
31500,smart,forFour,Gasoline,Manual,Used,6999,71,2017
77403,Ford,Fiesta,Diesel,Manual,Used,7090,75,2017
66990,Audi,A6 allroad,Diesel,Automatic,Used,31880,272,2018
73500,Audi,A4 allroad,Diesel,Automatic,Used,31980,163,2018
59990,Audi,A4,Diesel,Automatic,Used,32940,218,2018
79300,Mercedes-Benz,GLC 250,Diesel,Automatic,Used,34775,204,2018
46300,Audi,Q2,Diesel,Automatic,Used,34890,190,2018
54496,Audi,A6,Diesel,Automatic,Used,35480,231,2018
51878,Volkswagen,Tiguan,Diesel,Automatic,Used,35490,239,2018
13400,Cupra,Ateca,Gasoline,Automatic,Demonstration,35990,300,2018
85200,Volkswagen,Amarok,Diesel,Automatic,Used,37700,224,2018
49900,Audi,A6 allroad,Diesel,Automatic,Used,37950,320,2018
39580,Audi,Q5,Diesel,Automatic,Used,39444,190,2018
49394,Audi,Q5,Diesel,Automatic,Used,42480,190,2018
81750,Audi,SQ5,Gasoline,Automatic,Used,42675,354,2018
68900,Audi,Q5,Diesel,Automatic,Used,43900,286,2018
72500,Audi,SQ5,Gasoline,Automatic,Used,44450,354,2018
109590,Audi,Q7,Diesel,Automatic,Used,44850,272,2018
28650,BMW,M2,Gasoline,Automatic,Used,44980,370,2018
93390,Audi,A6,Diesel,Automatic,Used,44984,286,2018
60188,Volvo,XC90,Diesel,Automatic,Used,45990,235,2018
52070,BMW,X3,Diesel,Automatic,Used,46890,265,2018
13710,Ford,Focus,Gasoline,Automatic,Used,26480,150,2019
27949,Audi,A4,Diesel,Automatic,Used,26880,150,2019
22500,Ford,Focus,Gasoline,Automatic,Demonstration,26880,150,2019
57501,BMW,X2,Diesel,Automatic,Used,26970,190,2019
34450,Volkswagen,Tiguan,Diesel,Automatic,Used,26980,150,2019
35950,Volkswagen,T-Roc,Diesel,Automatic,Used,27440,150,2019
12178,Audi,A4,Gasoline,Manual,Used,27440,150,2019
41365,Volkswagen,Passat Variant,Diesel,Automatic,Used,27490,190,2019
31900,Mercedes-Benz,Vito,Diesel,Automatic,Used,27600,163,2019
45700,Audi,A4,Diesel,Automatic,Used,27980,150,2019
9243,SEAT,Ateca,Gasoline,Automatic,Used,28250,150,2019
8650,Ford,Kuga,Diesel,Automatic,Employee's car,28980,179,2019
17615,Skoda,Karoq,Gasoline,Automatic,Demonstration,28990,150,2019
4016,Mercedes-Benz,GLA 250,Gasoline,Automatic,Used,29111,211,2019
9290,Ford,Kuga,Diesel,Automatic,Employee's car,29980,179,2019
8650,Ford,Kuga,Diesel,Automatic,Employee's car,29980,179,2019
22900,SEAT,Alhambra,Gasoline,Automatic,Used,29990,150,2019
2955,Audi,A4,Diesel,Automatic,Used,29994,150,2019
1060,Ford,Transit,Diesel,Manual,Used,30452,131,2019
27500,BMW,320,Diesel,Automatic,Used,30675,190,2019
23490,Audi,A6,Electric/Gasoline,Automatic,Used,59440,367,2020
19000,Audi,Q5,Electric/Gasoline,Automatic,Demonstration,59850,367,2020
31420,Audi,RS Q3,Gasoline,Automatic,Used,59985,400,2020
23402,Audi,TT RS,Gasoline,Automatic,Used,64885,400,2020
3850,Jaguar,F-Type,Gasoline,Automatic,Used,64900,381,2020
11650,Audi,TT RS,Gasoline,Automatic,Used,65890,400,2020
11100,Porsche,Macan,Gasoline,Automatic,Used,65900,245,2020
25300,Volkswagen,Touareg,Diesel,Automatic,Used,66740,286,2020
23490,Audi,SQ5,Diesel,Automatic,Used,66790,347,2020
999,Audi,A7,Electric/Gasoline,Automatic,Used,66890,367,2020
22500,Audi,SQ5,Diesel,Automatic,Demonstration,67840,347,2020
8200,Audi,A7,Diesel,Automatic,Used,69890,286,2020
11700,Audi,RS Q3,Gasoline,Automatic,Used,69890,400,2020
18150,Audi,S5,Diesel,Automatic,Demonstration,69980,347,2020
19950,Volkswagen,T6 California,Diesel,Automatic,Used,70980,150,2020
16800,Audi,Q7,Diesel,Automatic,Used,81890,286,2020
41100,Audi,Q8,Diesel,Automatic,Used,81890,286,2020
29150,Audi,Q8,Gasoline,Automatic,Used,81890,340,2020
28400,Audi,Q8,Diesel,Automatic,Used,83890,286,2020
100,Fiat,Panda,Gasoline,Manual,Pre-registered,10600,69,2021
15,Fiat,Panda,Electric/Gasoline,Manual,Pre-registered,10680,69,2021
20,Toyota,Aygo,Gasoline,Manual,Pre-registered,10823,72,2021
15,Fiat,Panda,Electric/Gasoline,Manual,Pre-registered,10980,69,2021
15,Fiat,Panda,Electric/Gasoline,Manual,Pre-registered,10980,69,2021
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,10997,72,2021
9,Toyota,Aygo,Gasoline,Manual,Pre-registered,11490,72,2021
9,Toyota,Aygo,Gasoline,Manual,Pre-registered,11490,72,2021
9,Toyota,Aygo,Gasoline,Manual,Pre-registered,11490,72,2021
100,Hyundai,i10,Gasoline,Manual,Pre-registered,11499,67,2021
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11790,72,2021
10,Kia,Picanto,Gasoline,Manual,Pre-registered,11950,84,2021
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990,72,2021
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990,72,2021
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990,72,2021
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990,72,2021
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990,72,2021
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990,72,2021
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990,72,2021
10,Toyota,Aygo,Gasoline,Manual,Pre-registered,11990,72,2021
132500,Volkswagen,Golf,Gasoline,Automatic,Used,7800,122,2011
132500,Volkswagen,Golf,Gasoline,Automatic,Used,7800,122,2011
69019,Peugeot,508,Gasoline,Manual,Used,7850,156,2011
123600,Ford,Focus,Gasoline,Manual,Used,7885,150,2011
95963,Opel,Astra,Gasoline,Manual,Used,7900,120,2011
71908,Nissan,Qashqai,Gasoline,Manual,Used,7900,117,2011
93510,Kia,Ceed / cee'd,Gasoline,Manual,Used,7900,90,2011
131322,Volkswagen,Passat Variant,Gasoline,Manual,Used,7900,122,2011
228000,Volkswagen,Passat Variant,Diesel,Manual,Used,7900,170,2011
61999,Honda,Civic,Gasoline,Manual,Used,7949,99,2011
87216,Volkswagen,Golf,Gasoline,Manual,Used,7970,122,2011
120600,Ford,Focus,Gasoline,Manual,Used,7970,150,2011
119850,Volkswagen,Polo,Gasoline,Automatic,Used,7990,86,2011
154500,Volkswagen,Passat Variant,Gasoline,Manual,Used,7990,160,2011
